0.0	-200.0
300.0	-196.622
600.0	-173.69339999999997
900.0	-157.21419999999998
1200.0	-135.60160000000002
1500.0	-127.33779999999999
1800.0	-126.16860000000001
2100.0	-121.85920000000002
2400.0	-119.87359999999998
2700.0	-120.69380000000001
3000.0	-119.02459999999999
3300.0	-118.48300000000002
3600.0	-118.93560000000002
3900.0	-118.13879999999999
4200.0	-118.87780000000001
4500.0	-118.7302
4800.0	-117.689
5100.0	-119.01939999999999
5400.0	-118.867
5700.0	-118.58619999999999
6000.0	-117.343
6300.0	-117.78240000000001
6600.0	-116.27920000000002
6900.0	-117.2118
7200.0	-117.31099999999999
7500.0	-116.811
7800.0	-116.809
8100.0	-116.97959999999998
8400.0	-117.3
8700.0	-117.62799999999997
9000.0	-116.457
